"Polling_District","UPRN"
"AB0",64021731
"AB0",64021732
"AB0",64021733
"AB0",64021734
"AB0",64021735
"AB0",64021736
"AB0",64021737
"AB0",64021738
"AB0",64021739
"AB0",64021740
"AB0",64021741
"AB0",64021742
"AB0",64021743
"AB0",64021744
"AB0",64021745
"AB0",64021746
"AB0",64021747
"AB0",64021748
"AB0",64021749
"AB0",64021750
"AB0",64021751
"AB0",64021752
"AB0",64021753
"AB0",64021754
"AB0",64021755
"AB0",64021756
"AB0",64021757
"AB0",64021758
"AB0",64021759
"AB0",64021760
"AB0",64021761
"AB0",64021762
"AB0",64021763
"AB0",64021764
"AB0",64021765
"AB0",64021766
"AB0",64021767
"AB0",64021768
"AB0",64021810
"AB0",64021815
"AB0",64021818
"AB0",64021820
"AB0",64021821
"AB0",64021822
"AB0",64021823
"AB0",64021824
"AB0",64021825
"AB0",64021826
"AB0",64021827
"AB0",64021828
"AB0",64021829
"AB0",64021830
"AB0",64021831
"AB0",64021832
"AB0",64021833
"AB0",64021834
"AB0",64021835
"AB0",64021836
"AB0",64021853
"AB0",64021854
"AB0",64021855
"AB0",64021856
"AB0",64021857
"AB0",64021858
"AB0",64021859
"AB0",64021860
"AB0",64021861
"AB0",64021862
"AB0",64021863
"AB0",64021864
"AB0",64021865
"AB0",64021866
"AB0",64021867
"AB0",64021868
"AB0",64021869
"AB0",64021870
"AB0",64021871
"AB0",64021872
"AB0",64021873
"AB0",64021874
"AB0",64021875
"AB0",64021876
"AB0",64021877
"AB0",64021878
"AB0",64021879
"AB0",64021880
"AB0",64021881
"AB0",64021882
"AB0",64021883
"AB0",64021926
"AB0",64021928
"AB0",64021931
"AB0",64021933
"AB0",64021935
"AB0",64021936
"AB0",64021938
"AB0",64021939
"AB0",64047758
"AB0",64047759
"AB0",64047760
"AB0",64047761
"AB0",64047762
"AB0",64047763
"AB0",64047764
"AB0",64047765
"AB0",64047766
"AB0",64047767
"AB0",64047768
"AB0",64047769
"AB0",64047770
"AB0",64047771
"AB0",64047772
"AB0",64047773
"AB0",64047774
"AB0",64047775
"AB0",64047776
"AB0",64047777
"AB0",64047778
"AB0",64047779
"AB0",64047780
"AB0",64047781
"AB0",64047782
"AB0",64047783
"AB0",64103247
"AB0",64103248
"AB0",64103249
"AB0",64103354
"AB0",64103594
"AB0",64103656
"AB0",64104406
"AB0",64104407
"AB0",64104408
"AB0",64104707
"AB0",64105782
"AB0",64106265
"AB0",64106266
"AB0",100100813050
"AB0",100100814146
"AB0",100100824698
"AB0",100100825986
"AB0",100100825987
"AB0",100100825988
"AB0",100100825989
"AB0",100100825990
"AB0",100100825991
"AB0",100100825992
"AB0",100100825993
"AB0",100100825994
"AB0",100100825995
"AB0",100100825996
"AB0",100100825997
"AB0",100100825998
"AB0",100100825999
"AB0",200001640481
"AB0",200002185197
"AB0",200002185198
"AB1",64003066
"AB1",64003067
"AB1",64003068
"AB1",64003069
"AB1",64003070
"AB1",64003071
"AB1",64003077
"AB1",64003144
"AB1",64003145
"AB1",64003146
"AB1",64003147
"AB1",64003165
"AB1",64003258
"AB1",64003268
"AB1",64003269
"AB1",64003270
"AB1",64003271
"AB1",64003272
"AB1",64013728
"AB1",64013762
"AB1",64013776
"AB1",64013884
"AB1",64013889
"AB1",64013917
"AB1",64013999
"AB1",64014000
"AB1",64014596
"AB1",64014597
"AB1",64014598
"AB1",64014700
"AB1",64014701
"AB1",64014702
"AB1",64014783
"AB1",64014784
"AB1",64016116
"AB1",64016347
"AB1",64016423
"AB1",64021518
"AB1",64021523
"AB1",64021531
"AB1",64021532
"AB1",64021533
"AB1",64021534
"AB1",64021535
"AB1",64021536
"AB1",64021537
"AB1",64021538
"AB1",64021631
