FID,OBJECTID,POLLING_DISTRICT,ID,NAME,UPRN,EASTING,NORTHING,LATITUDE,LONGITUDE,SHAPE
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5073,14,WAT,WAT,Kirkton Community Centre and Library,009059052649,339315,733338,56.48820941,-2.98706922,POINT (339313.258 733343.403999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5072,15,WAU,WAU,Mitchell Street Centre,009059075352,339479,734032,56.49446449,-2.98456796,POINT (338912.0683 730629.226)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5071,16,WAW,WAW,Downfield PS,009059095129,338996,733463,56.48929095,-2.99227791,POINT (339015.183 733464.097999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5070,17,EAQ,EAQ,Panmurfield Village Church,009059084801,347457,732691,56.48337799,-2.85473809,POINT (347457.819 732690.725)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-506f,18,EAR,EAR,Broughty Ferry Tennis Club,009059084311,347284,732556,56.48214592,-2.85751937,POINT (347288.498 732549.634)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-506e,19,EAO,EAO,St Margarets Church Hall,009059100527,347856,731592,56.47355011,-2.84804013,POINT (347848.668 731552.7654)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-506d,20,EBA,EBA,Craigiebank Church Hall,009059035027,342892,731396,56.47121293,-2.92856485,POINT (342895.504 731385.175000001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-506c,21,EBC,EBC,Dundee Sea Cadets,009059051346,341352,730650,56.46432233,-2.9533899,POINT (341354.8137 730648.9048)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-506b,22,EBD,EBD,Glebelands PS,009059025237,341368,731074,56.46813301,-2.95322573,POINT (341367.1751 731082.989)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-506a,23,EBE,EBE,Wellgate Sheltered Housing,009059064489,340541,730754,56.46515476,-2.96657312,POINT (340551.319 730749.369999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5069,24,WAJ,WAJ,Al-Maktoum Centre,009059014807,339180,730191,56.45992358,-2.98852595,POINT (339180.952 730194.366)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5068,25,WAB,WAB,Clyde Place Sheltered Housing,009059037463,336664,730738,56.4645052,-3.02947869,POINT (336668.498 730739.720000001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5067,26,WAC,WAC,Lynch Sports Centre,009059047902,335539,731483,56.47104441,-3.0479172,POINT (335534.3732 731485.333799999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5066,27,WAG,WAG,Hillside PS,009059030041,336915,731214,56.46881461,-3.02552123,POINT (336917.398 731222.563999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5065,28,WAH,WAH,St. Ninians PS,009059054592,336350,731061,56.4673642,-3.03465256,POINT (336350.381 731049.293)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5064,29,WAI,WAI,Thomson Park,009059087857,337189,732076,56.47659423,-3.02128273,POINT (337189.484 732076.2106)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5063,30,WAK,WAK,Kirk Street Sheltered Housing,009059072626,337741,731492,56.47142179,-3.01218344,POINT (337739.942 731484.195)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5062,31,WAM,WAM,St Andrews PS,009059095128,338261,733840,56.49258144,-3.00430139,POINT (338266.1024 733839.1219)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5061,32,WAX,WAX,Lawton Road Sheltered Housing,009059087175,339174,731792,56.47430403,-2.98899718,POINT (339174.906 731791.301999999)
